"Matricula","Periodo","Periodo_Curso","P1","P2","LP1","IC","LP2","Discreta","Eda","Leda","Grafos","TC"
"B11855",2012.2,2,0,0,0,0,0,59,0,0,0,0
"B11855",2013.1,2,0,76,0,0,70,0,0,0,78,0
"B11859",2014.1,1,89,0,89,95,0,0,0,0,0,0
"B11864",2011.2,1,60,0,60,74,0,0,0,0,0,0
"B11864",2012.1,2,0,15,0,0,18,25,0,0,70,0
"B11864",2012.2,2,0,51,0,0,55,33,0,0,0,0
"B11864",2013.1,2,0,0,0,0,0,200,0,0,0,0
"B11864",2013.1,3,0,0,0,0,0,0,6,200,0,0
"B11866",2013.2,1,38,0,38,70,0,0,0,0,0,0
"B11866",2014.1,1,75,0,75,0,0,0,0,0,0,0
"B11866",2014.1,2,0,0,0,0,0,60,0,0,0,0
"B11867",2012.1,1,200,0,200,200,0,0,0,0,0,0
"B1187",2011.1,1,52,0,52,76,0,0,0,0,0,0
"B1187",2011.2,2,0,200,0,0,200,0,0,0,200,0
"B11879",2013.1,1,25,0,25,200,0,0,0,0,0,0
"B11882",2011.1,1,93,0,93,89,0,0,0,0,0,0
"B11882",2011.2,2,0,90,0,0,70,76,0,0,98,0
"B11882",2012.1,3,0,0,0,0,0,0,80,85,0,68
"B11886",2006.1,1,79,0,81,88,0,0,0,0,0,0
"B11886",2006.2,2,0,85,0,0,83,80,0,0,72,0
"B11886",2007.1,3,0,0,0,0,0,0,85,87,0,73
"B11889",2010.2,1,70,0,70,52,0,0,0,0,0,0
"B11889",2011.1,2,0,70,0,0,73,54,0,0,70,0
"B11889",2011.2,3,0,0,0,0,0,0,70,77,0,0
"B11889",2012.1,3,0,0,0,0,0,0,0,0,0,65
"B11892",2005.2,1,62,0,67,92,0,0,0,0,0,0
"B11892",2006.1,2,0,60,0,0,81,61,0,0,56,0
"B11892",2006.2,3,0,0,0,0,0,0,40,62,0,20
"B11892",2007.1,3,0,0,0,0,0,0,51,0,0,51
"B11893",2012.2,1,71,0,71,58,0,0,0,0,0,0
"B11893",2013.1,2,0,37,0,0,50,0,0,0,50,0
"B11893",2013.2,2,0,74,0,0,0,23,0,0,0,0
"B11893",2014.1,3,0,0,0,0,0,0,200,200,0,0
"B119",2008.2,1,94,0,98,100,0,0,0,0,0,0
"B119",2009.1,2,0,93,0,0,90,0,0,0,0,0
"B119",2009.2,3,0,0,0,0,0,0,80,90,0,82
"B11954",2007.2,1,71,0,75,58,0,0,0,0,0,0
"B11954",2008.1,2,0,57,0,0,84,15,0,0,71,0
"B11954",2008.2,2,0,0,0,0,0,31,0,0,0,0
"B11954",2008.2,3,0,0,0,0,0,0,62,72,0,0
"B11954",2009.1,2,0,0,0,0,0,51,0,0,0,0
"B11954",2009.2,3,0,0,0,0,0,0,0,0,0,37
"B11954",2010.2,3,0,0,0,0,0,0,0,0,0,200
"B11954",2011.1,3,0,0,0,0,0,0,0,0,0,200
"B11981",2011.1,1,72,0,72,58,0,0,0,0,0,0
"B11981",2011.2,2,0,56,0,0,73,51,0,0,60,0
"B11981",2012.1,3,0,0,0,0,0,0,6,4,0,52
"B11981",2013.1,3,0,0,0,0,0,0,200,200,0,0
"B11981",2014.1,3,0,0,0,0,0,0,9,200,0,0
"B11982",2012.1,1,200,0,200,200,0,0,0,0,0,0
"B11982",2012.2,1,200,0,200,5,0,0,0,0,0,0
"B11982",2012.2,2,0,0,0,0,0,5,0,0,0,0
"B11990",2013.2,1,38,0,37,96,0,0,0,0,0,0
"B12041",2011.2,1,67,0,67,60,0,0,0,0,0,0
"B12041",2012.1,2,0,38,0,0,24,0,0,0,50,0
"B12041",2012.2,2,0,60,0,0,75,0,0,0,0,0
"B12041",2013.1,3,0,0,0,0,0,0,28,31,0,0
"B12053",2010.1,1,70,0,76,76,0,0,0,0,0,0
"B12053",2010.2,2,0,81,0,0,73,0,0,0,0,0
"B12053",2011.1,2,0,0,0,0,0,36,0,0,73,0
"B12053",2011.2,2,0,0,0,0,0,200,0,0,0,0
"B12053",2011.2,3,0,0,0,0,0,0,41,40,0,0
"B12056",2005.1,1,87,0,93,89,0,0,0,0,0,0
"B12056",2005.2,2,0,87,0,0,88,84,0,0,80,0
"B12056",2006.1,3,0,0,0,0,0,0,82,97,0,81
"B12059",2009.1,1,200,0,200,200,0,0,0,0,0,0
"B12063",2011.2,1,29,0,200,200,0,0,0,0,0,0
"B12063",2012.1,1,61,0,62,68,0,0,0,0,0,0
"B12063",2012.2,2,0,200,0,0,2,6,0,0,70,0
"B12063",2013.1,2,0,200,0,0,1,200,0,0,0,0
"B12113",2009.1,1,39,0,31,50,0,0,0,0,0,0
"B12113",2009.2,1,50,0,51,0,0,0,0,0,0,0
"B12113",2010.1,2,0,27,0,0,26,23,0,0,35,0
"B12119",2008.1,1,88,0,73,70,0,0,0,0,0,0
"B12119",2008.2,2,0,84,0,0,92,61,0,0,0,0
"B12119",2009.1,2,0,0,0,0,0,0,0,0,38,0
"B12119",2009.2,2,0,0,0,0,0,0,0,0,60,0
"B12119",2010.1,3,0,0,0,0,0,0,1,17,0,200
"B12119",2010.2,3,0,0,0,0,0,0,59,64,0,50
"B12176",2011.1,1,75,0,73,84,0,0,0,0,0,0
"B12176",2011.2,2,0,72,0,0,56,74,0,0,78,0
"B12176",2012.1,3,0,0,0,0,0,0,71,70,0,79
"B12178",2013.1,1,63,0,63,79,0,0,0,0,0,0
"B12178",2013.2,2,0,51,0,0,57,39,0,0,39,0
"B12178",2014.1,2,0,0,0,0,0,200,0,0,200,0
"B12179",2011.2,1,200,0,200,200,0,0,0,0,0,0
"B12191",2006.2,1,72,0,78,83,0,0,0,0,0,0
"B12191",2007.1,2,0,77,0,0,77,0,0,0,0,0
